#
# Wall-normal profile of the co-variances <ui*uj> 
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	uu 	vv 	ww 	uv 	uw 	vw
0.750286 	0.00257167 	0.000825362 	0.00092402 	-9.70247e-06 	-1.53855e-05 	-5.9094e-07
0.760793 	0.00248156 	0.00078974 	0.000877524 	-9.08357e-06 	-1.3563e-05 	-1.86606e-06
0.771345 	0.00239185 	0.000754939 	0.00083075 	-8.25132e-06 	-1.27564e-05 	-3.16494e-06
0.781941 	0.0023039 	0.000721216 	0.00078492 	-7.1355e-06 	-1.14779e-05 	-4.28773e-06
0.79258 	0.00221753 	0.00068866 	0.000741551 	-5.9704e-06 	-9.42788e-06 	-5.15311e-06
0.803258 	0.00213062 	0.000657254 	0.000701305 	-4.99581e-06 	-7.66073e-06 	-5.58873e-06
0.813974 	0.00204265 	0.000626924 	0.000663232 	-4.19758e-06 	-6.76247e-06 	-5.62317e-06
0.824726 	0.00195654 	0.000597569 	0.000626013 	-3.53616e-06 	-6.36971e-06 	-5.47916e-06
0.835513 	0.00187404 	0.000569093 	0.00058923 	-3.07807e-06 	-5.94386e-06 	-5.35968e-06
0.846332 	0.00179405 	0.000541492 	0.000552842 	-2.88131e-06 	-5.10061e-06 	-5.36677e-06
0.857181 	0.00171631 	0.000514887 	0.000516647 	-3.09993e-06 	-4.02566e-06 	-5.46463e-06
0.868058 	0.00164176 	0.000489437 	0.000480948 	-3.88538e-06 	-2.98758e-06 	-5.49791e-06
0.878961 	0.00157134 	0.000465279 	0.000446923 	-5.1032e-06 	-1.77763e-06 	-5.30526e-06
0.889888 	0.00150563 	0.000442598 	0.000415202 	-6.33588e-06 	-1.99694e-07 	-4.89394e-06
0.900836 	0.00144391 	0.000421752 	0.000385545 	-7.15606e-06 	1.49077e-06 	-4.39542e-06
0.911805 	0.00138502 	0.000403216 	0.000357932 	-7.44888e-06 	2.93307e-06 	-3.85988e-06
0.922791 	0.00132943 	0.000387403 	0.000332302 	-7.33904e-06 	3.81818e-06 	-3.21198e-06
0.933792 	0.00127878 	0.000374496 	0.000308557 	-6.90776e-06 	4.13822e-06 	-2.35962e-06
0.944806 	0.00123421 	0.000364389 	0.000287662 	-6.29667e-06 	4.37463e-06 	-1.34067e-06
0.955832 	0.001196 	0.000356748 	0.000271157 	-5.71926e-06 	4.85859e-06 	-3.26841e-07
0.966866 	0.00116403 	0.000351148 	0.000259969 	-5.24813e-06 	5.34525e-06 	5.16738e-07
0.977907 	0.00113925 	0.000347242 	0.000253806 	-4.88113e-06 	5.50413e-06 	1.10995e-06
0.988952 	0.00112345 	0.000344894 	0.000251171 	-4.65222e-06 	5.27883e-06 	1.42121e-06
1 	0.00111801 	0.000344106 	0.000250494 	-4.57624e-06 	5.08035e-06 	1.50521e-06
1.01105 	0.00113316 	0.000343946 	0.000254065 	2.10804e-05 	1.01982e-05 	8.49485e-07
1.02209 	0.00115749 	0.000345307 	0.000258944 	4.64567e-05 	1.48003e-05 	9.65114e-08
