# X, Y, wSS_x, wSS_y, wSS_z
-1.442307692307690104e+03 -4.807692307692310010e+02 -4.850962492680450100e-01 -2.328095938699580036e-01 -2.328095938699580036e-01
-1.410256410256409936e+03 -4.700854700854699786e+02 -4.850982649742670016e-01 -2.328179739865310072e-01 -2.328179739865310072e-01
-1.378205128205129995e+03 -4.594017094017090130e+02 -4.850981653668919868e-01 -2.328249829972000029e-01 -2.328249829972000029e-01
-1.346153846153850054e+03 -4.487179487179490138e+02 -4.850923734032709933e-01 -2.328354866153869995e-01 -2.328354866153869995e-01
-1.314102564102560109e+03 -4.380341880341879914e+02 -4.849618696389800254e-01 -2.327614173447530022e-01 -2.327614173447530022e-01
-1.282051282051279941e+03 -4.273504273504270259e+02 -4.849610234591629765e-01 -2.327678342382470122e-01 -2.327678342382470122e-01
-1.250000000000000000e+03 -4.166666666666670267e+02 -4.849583878523450187e-01 -2.327731353279670068e-01 -2.327731353279670068e-01
-1.250000000000000000e+03 -4.166666666666670267e+02 -4.849541551557460251e-01 -2.327774537954930001e-01 -2.327774537954930001e-01
-1.217948717948720059e+03 -4.059829059829060043e+02 -4.848281285656499962e-01 -2.327053728933839993e-01 -2.327053728933839993e-01
-1.185897435897439891e+03 -3.952991452991449819e+02 -4.848266106846980117e-01 -2.327112562583970035e-01 -2.327112562583970035e-01
-1.153846153846149946e+03 -3.846153846153849827e+02 -4.848234420435609815e-01 -2.327161186614679911e-01 -2.327161186614679911e-01
-1.153846153846149946e+03 -3.846153846153849827e+02 -4.846976409218349824e-01 -2.326435589412050031e-01 -2.326435589412050031e-01
-1.121794871794870005e+03 -3.739316239316240171e+02 -4.846972283577979934e-01 -2.326500163727930059e-01 -2.326500163727930059e-01
-1.089743589743590064e+03 -3.632478632478629947e+02 -4.846951209515730219e-01 -2.326554201948279887e-01 -2.326554201948279887e-01
-1.057692307692309896e+03 -3.525641025641029955e+02 -4.846865255878319845e-01 -2.326635414867130047e-01 -2.326635414867130047e-01
-1.057692307692309896e+03 -3.525641025641029955e+02 -4.846865255878319845e-01 -2.326635414867130047e-01 -2.326635414867130047e-01
-1.057692307692309896e+03 -3.525641025641029955e+02 -4.845692968268229817e-01 -2.325954755391360096e-01 -2.325954755391360096e-01
-1.057692307692309896e+03 -3.525641025641029955e+02 -4.846914939125470112e-01 -2.326598905072400081e-01 -2.326598905072400081e-01
-1.025641025641029955e+03 -3.418803418803419731e+02 -4.845692968268229817e-01 -2.325954755391360096e-01 -2.325954755391360096e-01
-9.935897435897429659e+02 -3.311965811965810076e+02 -4.845626291068160230e-01 -2.326045618248269997e-01 -2.326045618248269997e-01
-9.935897435897429659e+02 -3.311965811965810076e+02 -4.845666625451500176e-01 -2.326004446617669918e-01 -2.326004446617669918e-01
-9.615384615384620020e+02 -3.205128205128199852e+02 -4.845573690586050253e-01 -2.326079331255150040e-01 -2.326079331255150040e-01
-9.294871794871800148e+02 -3.098290598290599860e+02 -4.844443700236760186e-01 -2.325418349142079899e-01 -2.325418349142079899e-01
-8.974358974358980277e+02 -2.991452991452990204e+02 -4.844412681882639959e-01 -2.325464151106640120e-01 -2.325464151106640120e-01
-8.653846153846160405e+02 -2.884615384615390212e+02 -4.844368839813549821e-01 -2.325502189558550092e-01 -2.325502189558550092e-01
-8.653846153846150173e+02 -2.884615384615379980e+02 -4.844313811649599844e-01 -2.325533438978469869e-01 -2.325533438978469869e-01
-8.653846153846150173e+02 -2.884615384615379980e+02 -4.843224579173410205e-01 -2.324891616290510055e-01 -2.324891616290510055e-01
-8.333333333333330302e+02 -2.777777777777779988e+02 -4.843224579173410205e-01 -2.324891616290510055e-01 -2.324891616290510055e-01
-8.012820512820510430e+02 -2.670940170940169764e+02 -4.843189454916200232e-01 -2.324933939325189991e-01 -2.324933939325189991e-01
-7.692307692307699654e+02 -2.564102564102569772e+02 -4.843142629264969856e-01 -2.324969195540819988e-01 -2.324969195540819988e-01
-7.692307692307699654e+02 -2.564102564102560109e+02 -4.842061943145409830e-01 -2.324328465741259953e-01 -2.324328465741259953e-01
