x;y;z
31851.537;3206.617756;218.9176857
31852.35173;3207.197594;218.5652678
31853.16646;3207.777433;218.2154216
31853.98119;3208.357271;217.868147
31854.79592;3208.93711;217.5224282
31855.61066;3209.516948;217.1787391
31856.42539;3210.096787;216.8372537
31857.24012;3210.676625;216.4979721
31858.05485;3211.256464;216.1608943
31858.86958;3211.836302;215.8260202
31859.68431;3212.416141;215.49335
31860.49904;3212.995979;215.1628835
31861.31378;3213.575818;214.8346208
31862.12851;3214.155656;214.5085618
31862.94324;3214.735495;214.1704322
31863.75797;3215.315333;213.8172213
31864.5727;3215.895172;213.4491594
31865.38743;3216.47501;213.0690244
31866.20216;3217.054849;212.6887194
31867.0169;3217.634687;212.3082444
31867.83163;3218.214526;211.9275994
31868.64636;3218.794364;211.5467844
31869.46109;3219.374203;211.1657995
31870.27582;3219.954041;210.7846445
31871.09055;3220.53388;210.4033196
31871.90528;3221.113718;210.0218247
31872.72002;3221.693557;209.6401598
31873.53475;3222.273395;209.2583249
31874.34948;3222.853234;208.8763236
31875.16421;3223.433072;208.4941554
31875.97894;3224.012911;208.1118083
31876.79367;3224.592749;207.7283648
31877.60841;3225.172588;207.3417517
31878.42314;3225.752426;206.9551386
31879.23787;3226.332265;206.5685255
31880.0526;3226.912103;206.1819124
31880.86733;3227.491942;205.7952993
31881.68206;3228.07178;205.4086862
31882.49679;3228.651619;205.0220731
31883.31153;3229.231457;204.63546
31884.12626;3229.811296;204.2497971
31884.94099;3230.391134;203.960005
31885.75572;3230.970973;203.6721269
31886.57045;3231.550811;203.3861628
31887.38518;3232.13065;203.1021127
31888.19991;3232.710488;202.8199765
31889.01465;3233.290327;202.5397543
31889.82938;3233.870165;202.2614461
31890.64411;3234.450004;201.9850519
31891.45884;3235.029842;201.7106664
31892.27357;3235.609681;201.4382175
31893.0883;3236.189519;201.1677038
31893.90303;3236.769358;200.8991252
31894.71777;3237.349197;200.662944
31895.5325;3237.929035;200.4401869
31896.34723;3238.508874;200.2200015
31897.16196;3239.088712;200.0023879
31897.97669;3239.668551;199.7873459
31898.79142;3240.248389;199.5748757
31899.60615;3240.828228;199.3649772
31900.42089;3241.408066;199.1576504
31901.23562;3241.987905;198.9528953
31902.05035;3242.567743;198.7507119
31902.86508;3243.147582;198.5511003
31903.67981;3243.72742;198.3540603
31904.49454;3244.307259;198.1924839
31905.30927;3244.887097;198.0770933
31906.12401;3245.466936;197.9669759
31906.93874;3246.046774;197.8603418
31907.75347;3246.626613;197.7571911
31908.5682;3247.206451;197.6575237
31909.38293;3247.78629;197.5613397
31910.19766;3248.366128;197.4686391
31911.01239;3248.945967;197.3794218
31911.82713;3249.525805;197.2936879
31912.64186;3250.105644;197.2114373
31913.45659;3250.685482;197.1326701
31914.27132;3251.265321;197.0805618
31915.08605;3251.845159;197.130949
31915.90078;3252.424998;197.182611
31916.71551;3253.004836;197.2355479
31917.53025;3253.584675;197.2897596
31918.34498;3254.164513;197.3452461
31919.15971;3254.744352;197.4043537
31919.97444;3255.32419;197.4671504
31920.78917;3255.904029;197.5312331
31921.6039;3256.483867;197.5966017
31922.41863;3257.063706;197.6632562
31923.23337;3257.643544;197.7311967
31924.0481;3258.223383;197.800423
31924.86283;3258.803221;197.8708627
31925.67756;3259.38306;197.9425813
31926.49229;3259.962898;198.0155859
31927.30702;3260.542737;198.0898765
31928.12175;3261.122575;198.165453
31928.93649;3261.702414;198.2423154
31929.75122;3262.282252;198.3204637
31930.56595;3262.862091;198.399898
31931.38068;3263.441929;198.4806182
31932.19541;3264.021768;198.5626243
31933.01014;3264.601606;198.6459324
31933.82487;3265.181445;198.730575
31934.63961;3265.761283;198.9398704
31935.45434;3266.341122;199.2231539
31936.26907;3266.92096;199.5115709
31937.0838;3267.500799;199.8051211
31937.89853;3268.080637;200.1038047
31938.71326;3268.660476;200.4076217
31939.52799;3269.240314;200.7165719
31940.34273;3269.820153;201.0306556
31941.15746;3270.399991;201.3498725
31941.97219;3270.97983;201.6742228
31942.78692;3271.559668;202.0037065
31943.60165;3272.139507;202.3383235
31944.41638;3272.719345;202.680196
31945.23111;3273.299184;203.0308943
31946.04585;3273.879022;203.3867362
31946.86058;3274.458861;203.7477179
31947.67531;3275.038699;204.1111944
31948.49004;3275.618538;204.4764464
31949.30477;3276.198376;204.843474
31950.1195;3276.778215;205.2122772
31950.93423;3277.358053;205.5828559
31951.74897;3277.937892;205.9552102
31952.5637;3278.51773;206.32934
31953.37843;3279.097569;206.7052455
31954.19316;3279.677407;207.081775
31955.00789;3280.257246;207.4493033
31955.82262;3280.837084;207.8198546
31956.63735;3281.416923;208.1934289
31957.45209;3281.996761;208.5700261
31958.26682;3282.5766;208.9496464
31959.08155;3283.156438;209.3322897
