x;y;z
35087.68385;5618.876451;229.8412647
35079.30666;5613.415432;231.2801227
35070.92948;5607.954412;232.6953784
35062.55229;5602.493392;234.4089458
35054.1751;5597.032373;235.9186504
35045.79791;5591.571353;237.4458296
35037.42073;5586.110334;239.5219487
35029.04354;5580.649314;241.1151202
35020.66635;5575.188294;242.723784
35012.28917;5569.727275;244.6775254
35003.91198;5564.266255;247.0436575
34995.53479;5558.805236;248.3751474
34987.1576;5553.344216;251.0609395
34978.78042;5547.883196;253.1194278
34970.40323;5542.422177;254.7491993
34962.02604;5536.961157;256.0368712
34953.64886;5531.500138;257.8854625
34945.27167;5526.039118;259.9367978
34936.89448;5520.578098;261.6754861
34928.51729;5515.117079;264.0537031
34920.14011;5509.656059;265.8730151
34911.76292;5504.195039;268.1327569
34903.38573;5498.73402;269.4252329
34895.00855;5493.273;271.0488094
34886.63136;5487.811981;273.3493253
34878.25417;5482.350961;275.4361489
34869.87698;5476.889941;278.529058
34861.4998;5471.428922;280.2027276
34853.12261;5465.967902;282.5428746
34844.74542;5460.506883;286.7108028
34836.36824;5455.045863;290.2152822
34827.99105;5449.584843;293.2598653
34819.61386;5444.123824;296.1474662
34811.23667;5438.662804;299.3746575
34802.85949;5433.201785;302.7248237
34794.4823;5427.740765;305.9917663
34786.10511;5422.279745;309.0090073
34777.72793;5416.818726;312.4777111
34769.35074;5411.357706;315.8330632
34760.97355;5405.896687;319.2088811
34752.59636;5400.435667;322.6715564
34744.21918;5394.974647;326.0133084
34735.84199;5389.513628;329.3348302
34727.4648;5384.052608;332.5832691
34719.08761;5378.591588;335.934829
34710.71043;5373.130569;339.2002927
34702.33324;5367.669549;342.7663839
34693.95605;5362.20853;346.2384509
34685.57887;5356.74751;349.5591558
34677.20168;5351.28649;353.3353266
34668.82449;5345.825471;356.6093485
34660.4473;5340.364451;360.1732587
34652.07012;5334.903432;364.1051461
34643.69293;5329.442412;367.9609193
34635.31574;5323.981392;372.0944226
34626.93856;5318.520373;376.2094519
34618.56137;5313.059353;381.154204
34610.18418;5307.598334;385.6448158
34601.80699;5302.137314;390.3531959
34593.42981;5296.676294;394.462751
34585.05262;5291.215275;398.9302901
34576.67543;5285.754255;402.2196832
34568.29825;5280.293235;406.5892583
34559.92106;5274.832216;411.4383221
34551.54387;5269.371196;416.8083582
34543.16668;5263.910177;422.3889601
34534.7895;5258.449157;428.0138459
34526.41231;5252.988137;433.5056998
34518.03512;5247.527118;439.1425217
34509.65794;5242.066098;443.9759831
34501.28075;5236.605079;448.5600415
34492.90356;5231.144059;452.356624
34484.52637;5225.683039;454.5966086
34476.14919;5220.22202;455.7710124
34467.772;5214.761;454.5752103
34459.39481;5209.299981;452.1721832
34451.01763;5203.838961;449.3012294
34442.64044;5198.377941;445.6165512
34434.26325;5192.916922;441.6780948
34425.88606;5187.455902;436.8179822
34417.50888;5181.994883;432.2754628
34409.13169;5176.533863;427.7863092
34400.7545;5171.072843;422.4174974
34392.37732;5165.611824;417.2280454
34384.00013;5160.150804;412.5819409
34375.62294;5154.689784;407.7877898
34367.24575;5149.228765;402.9323396
34358.86857;5143.767745;397.9265129
34350.49138;5138.306726;392.7649231
34342.11419;5132.845706;386.9103399
34333.73701;5127.384686;382.1439117
34325.35982;5121.923667;377.4696862
34316.98263;5116.462647;373.6057942
34308.60544;5111.001628;369.7039592
34300.22826;5105.540608;366.0759033
34291.85107;5100.079588;363.5309104
34283.47388;5094.618569;360.3551601
34275.0967;5089.157549;357.9611041
34266.71951;5083.69653;355.1370126
34258.34232;5078.23551;352.5348975
34249.96513;5072.77449;349.5279601
34241.58795;5067.313471;347.0212779
34233.21076;5061.852451;344.4780892
34224.83357;5056.391432;341.4334393
34216.45638;5050.930412;338.7701346
34208.0792;5045.469392;336.601598
34199.70201;5040.008373;334.552628
34191.32482;5034.547353;332.4891713
34182.94764;5029.086333;330.1174846
34174.57045;5023.625314;327.9477761
34166.19326;5018.164294;325.7469749
34157.81607;5012.703275;323.1444105
