#
# Wall-normal profile of the mean velocities and their wall-normal derivatives
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	U 	W 	Uy 	Wy 	Uyy 	Wyy
0.79258 	1.22864 	0.00273709 	0.529455 	0.00424786 	-1.56882 	0.132266
0.803258 	1.23399 	0.00279154 	0.511729 	0.00611976 	-1.72291 	0.220371
0.813974 	1.2392 	0.00287102 	0.4931 	0.00880513 	-1.74725 	0.262379
0.824726 	1.24425 	0.00297933 	0.473993 	0.0111256 	-1.80882 	0.148004
0.835513 	1.24912 	0.00310437 	0.454266 	0.0116973 	-1.84217 	-0.040299
0.846332 	1.25382 	0.00322604 	0.434357 	0.0106101 	-1.84345 	-0.14204
0.857181 	1.25833 	0.00333258 	0.41393 	0.00906476 	-1.93728 	-0.12651
0.868058 	1.26263 	0.00342518 	0.392002 	0.0081263 	-2.09803 	-0.0411472
0.878961 	1.26671 	0.00351299 	0.368349 	0.00812211 	-2.23361 	0.028269
0.889888 	1.27054 	0.00360304 	0.343441 	0.00826649 	-2.31569 	-0.0212962
0.900836 	1.27408 	0.00368966 	0.317915 	0.00728072 	-2.3454 	-0.158804
0.911805 	1.27733 	0.00375838 	0.291889 	0.00515274 	-2.41284 	-0.208504
0.922791 	1.28027 	0.00380358 	0.264535 	0.00324286 	-2.58154 	-0.128358
0.933792 	1.28288 	0.00383314 	0.234892 	0.00227072 	-2.81493 	-0.055646
0.944806 	1.28513 	0.00385526 	0.202462 	0.00175972 	-3.0681 	-0.0446773
0.955832 	1.287 	0.00387177 	0.167606 	0.00121203 	-3.23745 	-0.0563221
0.966866 	1.28846 	0.00388146 	0.131467 	0.0005183 	-3.30534 	-0.0715216
0.977907 	1.28952 	0.00388216 	0.0945494 	-0.00046076 	-3.38834 	-0.109002
0.988952 	1.29017 	0.00386943 	0.0564462 	-0.00193573 	-3.50986 	-0.149254
1 	1.29038 	0.0038397 	0.0172454 	-0.00332257 	-3.56987 	-0.0822109
1.01105 	1.29036 	0.00380115 	-0.0219175 	-0.00332156 	-3.50663 	0.0877529
1.02209 	1.2899 	0.00377277 	-0.0601478 	-0.0015781 	-3.41936 	0.211813
1.03313 	1.28903 	0.00376878 	-0.0976742 	0.000837649 	-3.3826 	0.203489
1.04417 	1.28775 	0.00378827 	-0.134773 	0.00244851 	-3.33937 	0.0767029
1.05519 	1.28606 	0.00381693 	-0.171288 	0.00247739 	-3.28059 	-0.062272
1.06621 	1.28398 	0.0038393 	-0.206963 	0.001537 	-3.18434 	-0.0914757
1.07721 	1.28151 	0.00385137 	-0.240937 	0.000752123 	-2.9823 	-0.0474316
1.0882 	1.27869 	0.00385734 	-0.272572 	0.000369869 	-2.78835 	-0.0266887
1.09916 	1.27553 	0.00385988 	-0.302628 	9.11393e-05 	-2.69556 	-0.0301701
1.11011 	1.27206 	0.00385828 	-0.331323 	-0.000481039 	-2.52172 	-0.0860692
1.12104 	1.2683 	0.00384549 	-0.357062 	-0.00211354 	-2.1735 	-0.216726
1.13194 	1.26428 	0.00380738 	-0.378826 	-0.00505742 	-1.83508 	-0.312267
1.14282 	1.26006 	0.00373329 	-0.397703 	-0.00858378 	-1.66066 	-0.327223
1.15367 	1.25565 	0.00362097 	-0.415319 	-0.01211 	-1.59515 	-0.320999
1.16449 	1.25106 	0.00347139 	-0.432208 	-0.0155164 	-1.52157 	-0.305537
1.17527 	1.24631 	0.00328697 	-0.448017 	-0.0185963 	-1.40256 	-0.257911
1.18603 	1.24142 	0.00307384 	-0.462296 	-0.0208613 	-1.25666 	-0.157275
1.19674 	1.23639 	0.00284345 	-0.47527 	-0.0219277 	-1.18612 	-0.0440285
1.20742 	1.23125 	0.00260842 	-0.488324 	-0.0219556 	-1.27862 	0.0382928
1.21806 	1.22598 	0.00237894 	-0.50271 	-0.0209856 	-1.42089 	0.156476
1.22865 	1.22057 	0.00216903 	-0.518083 	-0.0182395 	-1.45783 	0.377642
1.23921 	1.21502 	0.00200282 	-0.532979 	-0.0127419 	-1.33781 	0.658845
1.24971 	1.20935 	0.00190884 	-0.545664 	-0.00488034 	-1.06185 	0.800523
1.26017 	1.20359 	0.00190023 	-0.555239 	0.00298235 	-0.783163 	0.670045
1.27058 	1.19777 	0.00196371 	-0.562629 	0.00880528 	-0.659515 	0.443258
1.28094 	1.19191 	0.00207483 	-0.569286 	0.0122865 	-0.633287 	0.235202
1.29125 	1.18601 	0.00221092 	-0.57568 	0.0138526 	-0.59885 	0.0885847
1.3015 	1.18008 	0.00235736 	-0.581288 	0.0147623 	-0.485661 	0.105418
1.3117 	1.17413 	0.00251403 	-0.585546 	0.0160263 	-0.348133 	0.125094
1.32184 	1.16818 	0.00268082 	-0.588391 	0.0165712 	-0.223461 	-0.0478389
1.33192 	1.16223 	0.00284056 	-0.590483 	0.0145893 	-0.236219 	-0.34435
1.34194 	1.1563 	0.0029661 	-0.594529 	0.0102027 	-0.61864 	-0.497582
1.3519 	1.15034 	0.00304343 	-0.603288 	0.0054628 	-1.13543 	-0.429874
1.36179 	1.14431 	0.00307838 	-0.616355 	0.00181394 	-1.46875 	-0.303618
1.37162 	1.13818 	0.00308366 	-0.631475 	-0.000527458 	-1.5708 	-0.1824
1.38139 	1.13194 	0.00307045 	-0.646466 	-0.00215997 	-1.46501 	-0.162278
1.39109 	1.1256 	0.00304201 	-0.65932 	-0.00368731 	-1.14347 	-0.144451
1.40072 	1.11921 	0.00300114 	-0.66763 	-0.00462815 	-0.556939 	-0.0460519
1.41028 	1.11281 	0.00295593 	-0.670041 	-0.00472578 	0.0130354 	0.0223481
1.41976 	1.10646 	0.00291317 	-0.668947 	-0.00417668 	0.145385 	0.0774881
1.42918 	1.10016 	0.0028761 	-0.668483 	-0.00390516 	-0.07975 	-0.0572246
1.43853 	1.09391 	0.00283249 	-0.670447 	-0.00599984 	-0.347557 	-0.390143
1.4478 	1.08767 	0.00275763 	-0.675174 	-0.0103147 	-0.686998 	-0.492784
1.45699 	1.08143 	0.00264372 	-0.683405 	-0.0141591 	-1.11252 	-0.313786
1.46611 	1.07514 	0.00250474 	-0.695551 	-0.0159506 	-1.55539 	-0.0641667
1.47515 	1.06878 	0.00236259 	-0.711746 	-0.0149206 	-2.01904 	0.300286
1.48412 	1.06232 	0.00224552 	-0.731479 	-0.0107069 	-2.34681 	0.607758
1.49301 	1.05572 	0.0021753 	-0.752722 	-0.00511023 	-2.3854 	0.608942
1.50181 	1.049 	0.00215213 	-0.77289 	-0.000405297 	-2.16195 	0.454657
1.51054 	1.04218 	0.00216474 	-0.790345 	0.00320312 	-1.83086 	0.39444
1.51919 	1.03528 	0.00220786 	-0.80482 	0.00689767 	-1.53159 	0.471285
1.52776 	1.02833 	0.00228516 	-0.81717 	0.0112415 	-1.3746 	0.533246
1.53624 	1.02135 	0.00239973 	-0.828617 	0.0157288 	-1.32611 	0.515241
1.54465 	1.01434 	0.00254974 	-0.839316 	0.0199092 	-1.18611 	0.445175
1.55297 	1.00731 	0.00272688 	-0.847578 	0.0220471 	-0.74411 	0.00209209
1.56121 	1.00031 	0.00290026 	-0.850742 	0.0189239 	0.00215005 	-0.753971
1.56936 	0.993384 	0.00302444 	-0.847715 	0.0110742 	0.693135 	-1.0921
1.57744 	0.986568 	0.00307836 	-0.840988 	0.00243937 	0.868232 	-1.007
1.58542 	0.979874 	0.00306715 	-0.835711 	-0.00506114 	0.374622 	-0.858738
1.59333 	0.973274 	0.0030028 	-0.835505 	-0.0108661 	-0.299697 	-0.595684
1.60115 	0.966728 	0.00290266 	-0.839104 	-0.0143555 	-0.535688 	-0.31527
1.60888 	0.960223 	0.00278321 	-0.842456 	-0.0164797 	-0.272416 	-0.255568
1.61653 	0.953775 	0.00265012 	-0.842914 	-0.0182426 	0.143383 	-0.180766
1.6241 	0.947405 	0.00250947 	-0.841022 	-0.0185253 	0.303707 	0.133194
1.63158 	0.941121 	0.00237796 	-0.839225 	-0.016187 	0.132972 	0.488384
1.63897 	0.934916 	0.00227439 	-0.839447 	-0.0114804 	-0.204452 	0.755156
1.64628 	0.928772 	0.00221128 	-0.8421 	-0.00578493 	-0.50322 	0.751852
1.65351 	0.922673 	0.00218693 	-0.846302 	-0.00135135 	-0.653876 	0.434603
1.66065 	0.916612 	0.00218461 	-0.851764 	0.000134947 	-0.900875 	-0.0265346
1.6677 	0.910577 	0.00218131 	-0.859484 	-0.00155948 	-1.29141 	-0.429029
1.67467 	0.904553 	0.00215815 	-0.869512 	-0.00527908 	-1.57065 	-0.585867
1.68156 	0.898527 	0.00210887 	-0.88114 	-0.00878845 	-1.80894 	-0.377312
1.68836 	0.89249 	0.00204369 	-0.894401 	-0.00981955 	-2.0705 	0.0829669
1.69507 	0.886435 	0.00198225 	-0.908391 	-0.00814222 	-2.03604 	0.367081
1.70171 	0.880367 	0.00193629 	-0.920734 	-0.0058235 	-1.65624 	0.283466
1.70826 	0.874305 	0.00190257 	-0.930375 	-0.00476867 	-1.29836 	0.0282468
1.71472 	0.868264 	0.00187071 	-0.937808 	-0.00531828 	-1.00075 	-0.182758
1.7211 	0.86226 	0.00183227 	-0.943093 	-0.00681696 	-0.667604 	-0.269598
1.7274 	0.856307 	0.00178379 	-0.946804 	-0.00858518 	-0.545271 	-0.281722
1.73362 	0.850409 	0.00172513 	-0.95028 	-0.0102417 	-0.571835 	-0.237375
1.73976 	0.844569 	0.00165862 	-0.953464 	-0.01128 	-0.437086 	-0.0883367
1.74581 	0.83879 	0.0015898 	-0.955326 	-0.0112714 	-0.172086 	0.0898793
1.75178 	0.833083 	0.00152496 	-0.955722 	-0.010307 	0.0127531 	0.21811
1.75768 	0.827452 	0.00146822 	-0.955654 	-0.00895556 	-0.0284809 	0.213751
1.76349 	0.821896 	0.00141898 	-0.95649 	-0.0081702 	-0.28022 	0.0426739
1.76922 	0.816408 	0.00137195 	-0.958897 	-0.00838403 	-0.537339 	-0.107233
1.77487 	0.810978 	0.00132239 	-0.962034 	-0.00921601 	-0.51072 	-0.175322
1.78045 	0.80561 	0.00126816 	-0.963811 	-0.0102515 	-0.0743866 	-0.183267
1.78594 	0.800315 	0.00120939 	-0.962582 	-0.0110517 	0.515647 	-0.0949054
1.79136 	0.795109 	0.00114875 	-0.958688 	-0.0112097 	0.869619 	0.0360138
1.7967 	0.790002 	0.00108985 	-0.95391 	-0.0107761 	0.867224 	0.111515
1.80197 	0.784991 	0.00103461 	-0.949921 	-0.0102455 	0.618604 	0.069659
1.80715 	0.780069 	0.000981791 	-0.947595 	-0.0102523 	0.271468 	-0.088202
1.81227 	0.775226 	0.000927292 	-0.947057 	-0.0112568 	-0.0453572 	-0.304855
1.81731 	0.770452 	0.000865969 	-0.947747 	-0.0132126 	-0.195116 	-0.450032
